analyst_id,n_analyses,n_peer_evals,analyses_payment,peer_eval_payment,sum_payment
018OL,1,4,100,40,140
03LDB,1,0,100,0,100
03TOT,1,4,100,40,140
08UM9,1,0,100,0,100
0EING,1,0,100,0,100
0G5CG,1,5,100,50,150
0GFYM,1,0,100,0,100
0HC9H,1,3,100,30,130
0OQ4O,1,0,100,0,100
0RNST,1,0,100,0,100
0XXW0,2,0,200,0,200
0XXWZ,1,0,100,0,100
0Z3JN,1,0,100,0,100
0ZB46,1,0,100,0,100
0ZI5H,1,5,100,50,150
129PL,1,0,100,0,100
12HIO,1,0,100,0,100
13H14,1,0,100,0,100
1BQRY,1,0,100,0,100
1CFHB,1,0,100,0,100
1CP3G,1,0,100,0,100
1DLDB,1,2,100,20,120
1FPG6,1,0,100,0,100
1FZ2C,1,0,100,0,100
1HC64,1,0,100,0,100
1ISG4,1,0,100,0,100
1J195,1,0,100,0,100
1K9SV,1,0,100,0,100
1MFRV,1,0,100,0,100
1XA8N,1,0,100,0,100
1Y6IS,1,0,100,0,100
204TY,1,0,100,0,100
25FM1,1,2,100,20,120
25N5D,1,0,100,0,100
2898B,1,0,100,0,100
2KUPE,1,0,100,0,100
2LKVO,1,0,100,0,100
2XEYJ,1,3,100,30,130
2XTEW,1,0,100,0,100
2YBZF,1,0,100,0,100
2YGYF,1,0,100,0,100
30OYF,1,0,100,0,100
30S6Z,1,0,100,0,100
3682J,1,0,100,0,100
3AQDX,2,0,200,0,200
3B7KH,1,0,100,0,100
3IYFJ,1,5,100,50,150
419LV,1,6,100,60,160
41LW9,1,0,100,0,100
456AD,1,0,100,0,100
456AG,1,0,100,0,100
456AP,1,0,100,0,100
456AQ,1,0,100,0,100
4COYD,1,5,100,50,150
4GPHF,1,3,100,30,130
4JKR7,1,0,100,0,100
4NCPI,1,0,100,0,100
4O1N4,1,0,100,0,100
4ST8R,1,0,100,0,100
50PCE,1,0,100,0,100
53BDN,2,0,200,0,200
543AW,1,0,100,0,100
543X6,1,0,100,0,100
56TXB,1,3,100,30,130
58A4L,1,2,100,20,120
5AV43,2,5,200,50,250
5BSO9,1,0,100,0,100
5EDOR,1,5,100,50,150
5GT7K,1,5,100,50,150
5J36G,1,0,100,0,100
5Q0NR,1,3,100,30,130
5SCN9,1,4,100,40,140
5VQVG,1,5,100,50,150
5X3KG,2,4,200,40,240
648X2,1,0,100,0,100
6659P,1,0,100,0,100
67DKH,1,0,100,0,100
6AZUZ,1,0,100,0,100
6D11S,1,0,100,0,100
6HAC6,1,0,100,0,100
6NYSH,1,0,100,0,100
6U3LL,1,0,100,0,100
6WZH9,1,2,100,20,120
6YWS5,1,5,100,50,150
73FDT,1,0,100,0,100
79B6N,1,1,100,10,110
7CO66,1,6,100,60,160
7DDCG,1,0,100,0,100
7HMNU,1,4,100,40,140
7KIXM,1,0,100,0,100
7N2JN,1,0,100,0,100
7NM5S,1,0,100,0,100
7QDPG,1,0,100,0,100
7QU3A,1,0,100,0,100
7TRF7,1,0,100,0,100
7TYBG,1,0,100,0,100
7ZZIN,2,0,200,0,200
81NJK,1,1,100,10,110
81NTT,1,0,100,0,100
84G5K,1,0,100,0,100
894L5,1,0,100,0,100
8AYYN,1,0,100,0,100
8GS27,1,0,100,0,100
8GS2H,1,5,100,50,150
8LJZE,2,4,200,40,240
8P2J2,1,0,100,0,100
8PTRZ,2,4,200,40,240
8QYT6,1,0,100,0,100
8QYU7,1,0,100,0,100
8VZDI,1,0,100,0,100
8XKM0,1,0,100,0,100
8XLM1,1,3,100,30,130
8XUM0,1,0,100,0,100
917OK,1,0,100,0,100
93K4P,1,0,100,0,100
948IE,1,0,100,0,100
9DBJU,1,0,100,0,100
9EFM2,2,0,200,0,200
9FO7L,1,5,100,50,150
9P6A7,1,0,100,0,100
9T4QV,1,0,100,0,100
9U4RV,1,0,100,0,100
9UVIW,1,0,100,0,100
9VCO6,1,3,100,30,130
9X596,1,2,100,20,120
9Y597,1,5,100,50,150
9ZUZK,2,0,200,0,200
A1SBQ,1,3,100,30,130
A3X6D,1,5,100,50,150
AATZ7,1,0,100,0,100
AB9D2,1,0,100,0,100
AC456,1,0,100,0,100
AFO8L,1,0,100,0,100
AHW5W,2,5,200,50,250
AJIUW,1,4,100,40,140
AJJUX,1,0,100,0,100
AKB1K,1,0,100,0,100
AMDFX,1,5,100,50,150
ANL1Q,1,5,100,50,150
AUX74,1,0,100,0,100
AVCOX,1,0,100,0,100
AW332,1,0,100,0,100
AWAEK,1,5,100,50,150
AWTTS,1,4,100,40,140
B29PE,1,0,100,0,100
BGTYR,1,0,100,0,100
BHIO5,1,3,100,30,130
BHQ9N,1,0,100,0,100
BIMKS,1,0,100,0,100
BLG5S,1,0,100,0,100
BM8DQ,1,0,100,0,100
BX332,1,4,100,40,140
BZZQQ,2,0,200,0,200
C09RR,2,2,200,20,220
C4QXX,1,0,100,0,100
C6HJR,1,0,100,0,100
C7WJL,1,0,100,0,100
CC3UD,2,5,200,50,250
CCBE4,1,2,100,20,120
CCU09,1,0,100,0,100
CGTZS,1,3,100,30,130
CH2BA,2,0,200,0,200
CJQM7,1,0,100,0,100
CY454,1,0,100,0,100
D1BSS,1,0,100,0,100
DAA9C,1,5,100,50,150
DAB9D,1,0,100,0,100
DAILV,2,5,200,50,250
DAIUV,1,4,100,40,140
DF1FJ,1,0,100,0,100
DMAMC,1,5,100,50,150
DRV0T,1,0,100,0,100
DUQBC,1,5,100,50,150
DXJ85,1,1,100,10,110
E0676,1,0,100,0,100
E0EIN,1,2,100,20,120
E3Z4P,2,0,200,0,200
E4FIK,1,0,100,0,100
EEDG6,1,1,100,10,110
EHJDU,1,0,100,0,100
ELZ90,1,0,100,0,100
EPK9W,1,0,100,0,100
EWFMI,1,0,100,0,100
EZ87I,1,0,100,0,100
EZI7J,2,8,200,80,280
F32UK,2,0,200,0,200
FB06D,1,0,100,0,100
FGUV2,1,5,100,50,150
FHS67,1,7,100,70,170
FO7L6,1,0,100,0,100
FPWKK,1,3,100,30,130
FQ1G7,1,0,100,0,100
FR167,1,1,100,10,110
FWSCE,1,0,100,0,100
FXONI,1,0,100,0,100
FY4CW,1,0,100,0,100
FY4DW,1,0,100,0,100
G2898,1,3,100,30,130
GHN4R,1,0,100,0,100
GHZ5E,1,2,100,20,120
GNUQA,1,3,100,30,130
GOQ0F,1,0,100,0,100
GRUWQ,1,0,100,0,100
GS2H9,1,2,100,20,120
GTBT1,1,4,100,40,140
GTZSD,1,3,100,30,130
H14DB,1,0,100,0,100
H46K4,2,0,200,0,200
HAC6N,1,0,100,0,100
HAWST,1,0,100,0,100
HHSLN,1,0,100,0,100
HLUSG,1,0,100,0,100
HQ9N9,1,0,100,0,100
HRYMM,1,3,100,30,130
HTJM4,1,4,100,40,140
HU8MI,1,4,100,40,140
HWZDA,1,0,100,0,100
I3ER4,1,0,100,0,100
I4AA9,1,0,100,0,100
I7VWB,1,0,100,0,100
IFVKR,1,4,100,40,140
IMKS4,1,4,100,40,140
J3ODA,1,0,100,0,100
J5BBA,1,0,100,0,100
JE3RS,1,0,100,0,100
JFGFI,1,2,100,20,120
JPHZ3,2,0,200,0,200
JRU4J,1,0,100,0,100
JVMP6,1,2,100,20,120
JX2VH,1,0,100,0,100
JX7YO,1,0,100,0,100
JYF97,1,0,100,0,100
JYZ5M,1,4,100,40,140
K0XHI,1,0,100,0,100
K88ZQ,1,0,100,0,100
KDWY2,2,0,200,0,200
KEVF1,2,0,200,0,200
KNPJ0,1,0,100,0,100
KNXVJ,1,0,100,0,100
KQXUE,1,4,100,40,140
KZGB8,1,0,100,0,100
L3B6J,1,0,100,0,100
L456K,1,0,100,0,100
LJFSQ,1,0,100,0,100
LNHY9,1,3,100,30,130
LNHZJ,1,1,100,10,110
LPVN9,1,0,100,0,100
LT39B,1,0,100,0,100
LX7MD,1,0,100,0,100
LYCQM,1,0,100,0,100
M69JQ,1,0,100,0,100
MDFBX,1,0,100,0,100
MDGXG,1,0,100,0,100
MDWBA,1,0,100,0,100
MJR3D,1,2,100,20,120
MMLOE,1,0,100,0,100
MOYDE,1,0,100,0,100
MUYV3,1,0,100,0,100
N0WPB,1,0,100,0,100
N5LK4,1,0,100,0,100
N8P2J,1,0,100,0,100
N8ZYW,1,0,100,0,100
NF5O3,1,4,100,40,140
NFTMG,1,5,100,50,150
NMQ6A,1,0,100,0,100
NS1LY,1,5,100,50,150
NSDML,2,4,200,40,240
NWV79,1,5,100,50,150
NZHZ7,1,0,100,0,100
O6T2I,1,0,100,0,100
OIBLS,1,5,100,50,150
OMA2G,2,0,200,0,200
OPNR7,2,0,200,0,200
OSA6N,1,0,100,0,100
OUN95,1,0,100,0,100
OWS4T,1,1,100,10,110
P3HD5,1,0,100,0,100
P54NA,1,0,100,0,100
P6QB0,1,1,100,10,110
P77QW,1,0,100,0,100
P7RC1,1,3,100,30,130
P9234,1,0,100,0,100
P9W8Y,1,0,100,0,100
PDC44,1,0,100,0,100
PFQSU,1,5,100,50,150
PFRTV,1,0,100,0,100
PH39A,1,0,100,0,100
PNJWU,1,0,100,0,100
POSHC,1,5,100,50,150
PRL2D,1,0,100,0,100
PRL2N,1,4,100,40,140
PRM3D,1,0,100,0,100
PUZAT,1,0,100,0,100
PUZKT,1,0,100,0,100
PX654,1,0,100,0,100
PZ6KU,1,0,100,0,100
Q1460,2,0,200,0,200
Q3HUQ,1,0,100,0,100
Q5U26,1,4,100,40,140
Q9PO7,1,0,100,0,100
QF34I,1,2,100,20,120
QH0FE,1,2,100,20,120
QIWQJ,1,0,100,0,100
QL2M7,1,5,100,50,150
QN456,1,0,100,0,100
QPC4J,1,3,100,30,130
QPS9D,1,5,100,50,150
QPSID,1,0,100,0,100
QQH7Q,1,0,100,0,100
QYU74,1,4,100,40,140
R08MV,1,5,100,50,150
R34JK,2,0,200,0,200
R4Q7J,1,0,100,0,100
R73OP,1,0,100,0,100
RI9S7,1,0,100,0,100
RJ9S7,2,0,200,0,200
RQ146,1,6,100,60,160
RUUEP,1,0,100,0,100
RXPB8,1,0,100,0,100
S1LYK,1,0,100,0,100
S3WYS,1,0,100,0,100
S95PR,1,2,100,20,120
SBHP9,1,2,100,20,120
SJAS8,1,5,100,50,150
SJJ28,1,0,100,0,100
ST0G3,1,0,100,0,100
SWLGL,1,0,100,0,100
T2AYX,1,0,100,0,100
T3806,2,0,200,0,200
T4682,1,0,100,0,100
T64KZ,1,1,100,10,110
T6S8L,1,0,100,0,100
T89FM,1,0,100,0,100
TCQFF,1,0,100,0,100
TF41T,1,0,100,0,100
TK3IR,1,0,100,0,100
TKJER,1,0,100,0,100
TLJFS,1,0,100,0,100
TN4FA,1,0,100,0,100
TNW3S,1,0,100,0,100
TS468,1,6,100,60,160
TTCIR,1,0,100,0,100
U41QZ,1,0,100,0,100
U8SV5,1,0,100,0,100
UDSRB,1,0,100,0,100
UFG37,1,0,100,0,100
UHTJM,1,4,100,40,140
UNX4S,1,5,100,50,150
UPE13,1,4,100,40,140
UTC0C,1,3,100,30,130
UU5Y0,1,3,100,30,130
UY3WI,2,0,200,0,200
UYV3F,1,5,100,50,150
UZKTS,1,5,100,50,150
UZPCT,1,0,100,0,100
V6KLS,1,0,100,0,100
V7XQ8,1,0,100,0,100
VDGL3,1,0,100,0,100
VT9O5,1,0,100,0,100
VU58A,1,2,100,20,120
W0PKP,1,0,100,0,100
W1CVU,1,0,100,0,100
W2VHN,1,0,100,0,100
W5O2N,1,0,100,0,100
W5PXE,1,0,100,0,100
W9XD2,1,0,100,0,100
WANJC,1,6,100,60,160
WCZJU,1,5,100,50,150
WGTFW,1,0,100,0,100
WJVLO,1,3,100,30,130
WLGL6,1,0,100,0,100
WMHM7,2,3,200,30,230
WW7AB,1,4,100,40,140
WZ1VC,1,0,100,0,100
X1Y7I,1,0,100,0,100
X2N6W,1,0,100,0,100
X99OP,1,4,100,40,140
XCTOL,1,6,100,60,160
XF5GJ,2,5,200,50,250
XFPK9,1,0,100,0,100
XP4XR,1,0,100,0,100
XSXIR,1,5,100,50,150
Y2GLE,1,2,100,20,120
Y3GME,1,0,100,0,100
Y4537,1,0,100,0,100
Y7ZXT,1,0,100,0,100
YA03L,1,5,100,50,150
YEJO9,1,0,100,0,100
YMESM,1,4,100,40,140
YOR9R,1,1,100,10,110
YSAKF,1,1,100,10,110
YSQYA,1,3,100,30,130
YU64K,1,0,100,0,100
YWYHV,2,0,200,0,200
YX8BD,1,0,100,0,100
YZDX0,1,5,100,50,150
Z0Z2I,1,0,100,0,100
Z3GMF,1,0,100,0,100
Z4PYX,1,4,100,40,140
Z5YKQ,2,5,200,50,250
ZAOGM,1,0,100,0,100
ZCGMF,1,0,100,0,100
ZCIBX,1,0,100,0,100
ZDF6E,1,0,100,0,100
ZIWIY,2,0,200,0,200
ZJMVT,1,0,100,0,100
ZNFTM,1,0,100,0,100
ZO4S0,1,3,100,30,130
ZUJ68,1,0,100,0,100
ZVGQ3,1,3,100,30,130
ZXD19,1,0,100,0,100
ZXDS9,1,1,100,10,110
ZZQGZ,1,2,100,20,120
ZZY2R,1,4,100,40,140
